filename,title,author,licence,source
Avicennia_marina_01.jpg,File:A bird in Muthupet.JPG,Marinebalaji,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:A_bird_in_Muthupet.JPG
Avicennia_marina_02.jpg,File:Al Marfa Mangrove at Al Mugheirah Bay - Abu Dhabi.jpg,Josephyousry,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Al_Marfa_Mangrove_at_Al_Mugheirah_Bay_-_Abu_Dhabi.jpg
Avicennia_marina_03.jpg,File:Altona Coastal Park Kororoit Creek.jpg,Melburnian,CC BY 3.0,https://commons.wikimedia.org/wiki/File:Altona_Coastal_Park_Kororoit_Creek.jpg
Avicennia_marina_04.jpg,File:Avic marin 070728 023 mank.jpg,Wie146,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Avic_marin_070728_023_mank.jpg
Avicennia_marina_05.jpg,File:Avic marin 070728 030 mank rsz.jpg,Wie146,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Avic_marin_070728_030_mank_rsz.jpg
Avicennia_marina_06.jpg,File:Avicennia marina (3602583285).jpg,"Dinesh Valke from Thane, India",CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Avicennia_marina_(3602583285).jpg
Avicennia_marina_07.jpg,File:Avicennia marina (3602584557).jpg,"Dinesh Valke from Thane, India",CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Avicennia_marina_(3602584557).jpg
Avicennia_marina_08.jpg,File:Avicennia marina (3603394530).jpg,"Dinesh Valke from Thane, India",CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Avicennia_marina_(3603394530).jpg
Avicennia_marina_09.jpg,File:Avicennia marina (3603395118).jpg,"Dinesh Valke from Thane, India",CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Avicennia_marina_(3603395118).jpg
Avicennia_marina_10.jpg,File:Avicennia marina (3603399134).jpg,"Dinesh Valke from Thane, India",CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Avicennia_marina_(3603399134).jpg
Avicennia_marina_11.jpg,File:Avicennia marina (3603399680).jpg,"Dinesh Valke from Thane, India",CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Avicennia_marina_(3603399680).jpg
Avicennia_marina_12.jpg,File:Avicennia marina (3666703451).jpg,"Dinesh Valke from Thane, India",CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Avicennia_marina_(3666703451).jpg
Ceriops_tagal_13.jpg,File:Ceriops tagal - flowers (8349980250).jpg,Ton Rulkens from Mozambique,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Ceriops_tagal_-_flowers_(8349980250).jpg
Ceriops_tagal_14.jpg,File:Ceriops tagal (Perr.) C.B.Rob. (48149768851).jpg,"Dinesh Valke from Thane, India",CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Ceriops_tagal_(Perr.)_C.B.Rob._(48149768851).jpg
Ceriops_tagal_15.jpg,File:Ceriops tagal (Perr.) C.B.Rob. (48149770081).jpg,"Dinesh Valke from Thane, India",CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Ceriops_tagal_(Perr.)_C.B.Rob._(48149770081).jpg
Ceriops_tagal_16.jpg,File:Ceriops tagal (Perr.) C.B.Rob. (48149772256).jpg,"Dinesh Valke from Thane, India",CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Ceriops_tagal_(Perr.)_C.B.Rob._(48149772256).jpg
